Time,X,Y,Z
2024-02-21_143334,0.0003899268,0.0001154019,0.0003364851
2024-02-21_143334,0.0000444913,0.0003575175,0.0002939845
2024-02-21_143334,0.0006023963,0.0002912861,0.0003632109
2024-02-21_143334,0.0000585881,0.0001856183,0.0002033455
2024-02-21_143334,0.0002163677,0.0001590206,0.0001858722
2024-02-21_143334,0.0000253927,0.0003265467,0.0001340305
2024-02-21_143334,0.0002522588,0.0003277827,0.0003998658
2024-02-21_143334,0.0002932620,0.0000842327,0.0008624855
2024-02-21_143334,0.0002156974,0.0004434689,0.0001673524
2024-02-21_143334,0.0003345732,0.0001051285,0.0006596605
2024-02-21_143334,0.0000919398,0.0000373450,0.0002420215
2024-02-21_143334,0.0001794894,0.0005247568,0.0004741539
2024-02-21_143334,0.0003387140,0.0004078799,0.0006168630
2024-02-21_143334,0.0000674714,0.0002179240,0.0000265123
2024-02-21_143334,0.0002346319,0.0003343557,0.0006997271
2024-02-21_143334,0.0001154198,0.0002877713,0.0005020695
2024-02-21_143334,0.0000753271,0.0005206067,0.0002845949
2024-02-21_143334,0.0001571682,0.0003141351,0.0003393757
2024-02-21_143334,0.0001738211,0.0002256912,0.0006304956
2024-02-21_143334,0.0003663025,0.0003474229,0.0005799024
2024-02-21_143334,0.0002019240,0.0003459502,0.0002874365
2024-02-21_143334,0.0003084191,0.0001787900,0.0006273552
2024-02-21_143334,0.0004009996,0.0000904739,0.0001835158
2024-02-21_143334,0.0002624010,0.0005166444,0.0006479435
2024-02-21_143334,0.0002831681,0.0002429005,0.0004527906
2024-02-21_143334,0.0000864008,0.0003616379,0.0006924159
2024-02-21_143334,0.0002193364,0.0003514272,0.0001155607
2024-02-21_143334,0.0000274382,0.0002849225,0.0005494097
2024-02-21_143334,0.0003543742,0.0002974295,0.0001322524
2024-02-21_143334,0.0000417938,0.0003324581,0.0004768407
2024-02-21_143334,0.0002273291,0.0001934779,0.0002849944
2024-02-21_143334,0.0001720141,0.0003665042,0.0005706449
2024-02-21_143334,0.0003087917,0.0002551249,0.0003059503
2024-02-21_143334,0.0001367068,0.0000664686,0.0004049771
2024-02-21_143334,0.0001462963,0.0001973847,0.0001407740
2024-02-21_143334,0.0002936683,0.0002615869,0.0002214067
2024-02-21_143334,0.0002516137,0.0002785326,0.0006523213
2024-02-21_143334,0.0000572726,0.0002369725,0.0000925771
2024-02-21_143334,0.0001962060,0.0002566098,0.0002261606
2024-02-21_143334,0.0005321133,0.0002809447,0.0003336470
2024-02-21_143334,0.0001480906,0.0002017755,0.0003501620
2024-02-21_143334,0.0001468101,0.0001051288,0.0002306228
2024-02-21_143334,0.0001131446,0.0002816326,0.0002459776
2024-02-21_143334,0.0002760880,0.0003717023,0.0002356473
2024-02-21_143334,0.0003461998,0.0001639287,0.0006377563
2024-02-21_143334,0.0002346119,0.0005314447,0.0004214741
2024-02-21_143334,0.0002938836,0.0001763035,0.0002769031
2024-02-21_143334,0.0002114430,0.0002402262,0.0008570165
2024-02-21_143334,0.0000879438,0.0003831930,0.0002151480
2024-02-21_143334,0.0001088709,0.0002331682,0.0004208438
2024-02-21_143334,0.0001459740,0.0001511820,0.0001835697
2024-02-21_143334,0.0001383154,0.0003496163,0.0008713219
2024-02-21_143334,0.0001024487,0.0003380741,0.0000600579
2024-02-21_143334,0.0002469863,0.0003409661,0.0007057322
2024-02-21_143334,0.0001813526,0.0003254111,0.0003514462
2024-02-21_143334,0.0001962268,0.0003858625,0.0003386826
2024-02-21_143334,0.0002531384,0.0001712349,0.0003652795
2024-02-21_143334,0.0000637838,0.0002094624,0.0000966013
2024-02-21_143334,0.0000256719,0.0002520366,0.0002031805
2024-02-21_143334,0.0001243695,0.0002275434,0.0000843237
2024-02-21_143334,0.0001674018,0.0001813813,0.0003362180
2024-02-21_143334,0.0000697250,0.0003238566,0.0005437159
2024-02-21_143334,0.0002974575,0.0000647764,0.0006031734
2024-02-21_143334,0.0003878071,0.0002230004,0.0002952661
2024-02-21_143334,0.0002642906,0.0004693385,0.0008780011
2024-02-21_143334,0.0002448216,0.0002853644,0.0005313403
2024-02-21_143334,0.0001523593,0.0003581070,0.0005095152
2024-02-21_143334,0.0002239053,0.0003066149,0.0001823901
2024-02-21_143334,0.0001033786,0.0004457902,0.0010880648
2024-02-21_143334,0.0000759309,0.0002793088,0.0001056199
2024-02-21_143334,0.0002902841,0.0002341666,0.0006932396
2024-02-21_143334,0.0002026166,0.0001775000,0.0001583495
2024-02-21_143334,0.0001977217,0.0004758316,0.0004190015
2024-02-21_143334,0.0002685585,0.0003342929,0.0002092618
2024-02-21_143334,0.0001333916,0.0003731540,0.0002712031
2024-02-21_143334,0.0002715360,0.0005537409,0.0001654210
2024-02-21_143334,0.0001618994,0.0005352967,0.0004628266
2024-02-21_143334,0.0002694653,0.0002538542,0.0001258355
2024-02-21_143334,0.0000727361,0.0005296582,0.0001394505
2024-02-21_143334,0.0001046787,0.0004484389,0.0007283564
2024-02-21_143334,0.0002598996,0.0000358421,0.0002908117
2024-02-21_143334,0.0001932780,0.0006921060,0.0006691393
2024-02-21_143334,0.0000834616,0.0000456072,0.0004517814
2024-02-21_143334,0.0003016860,0.0000582727,0.0006897038
2024-02-21_143334,0.0002192444,0.0002937411,0.0005863867
2024-02-21_143334,0.0001516538,0.0003896126,0.0003457553
2024-02-21_143334,0.0001408444,0.0004801085,0.0004313896
2024-02-21_143334,0.0000420063,0.0000876796,0.0009212873
2024-02-21_143334,0.0002105918,0.0001172024,0.0002379007
2024-02-21_143334,0.0002224471,0.0002142781,0.0006880063
2024-02-21_143334,0.0003117067,0.0004657775,0.0006612059
2024-02-21_143334,0.0002125705,0.0003209075,0.0006874683
2024-02-21_143334,0.0001439051,0.0002053568,0.0003642216
2024-02-21_143334,0.0004633297,0.0001851271,0.0003548001
2024-02-21_143334,0.0004902423,0.0000975229,0.0005218338
2024-02-21_143334,0.0002161560,0.0002925000,0.0005269095
2024-02-21_143334,0.0002570586,0.0004025129,0.0007866661
2024-02-21_143334,0.0002418166,0.0004628397,0.0007502940
2024-02-21_143334,0.0004678373,0.0001896345,0.0002859507
2024-02-21_143334,0.0004833148,0.0002458003,0.0006158922
2024-02-21_143334,0.0000773862,0.0004739430,0.0003740803
2024-02-21_143334,0.0001964052,0.0005071020,0.0000614950
2024-02-21_143334,0.0000845353,0.0001985084,0.0007341379
2024-02-21_143334,0.0001213069,0.0002914459,0.0004067491
2024-02-21_143334,0.0000863123,0.0002647876,0.0004116340
2024-02-21_143334,0.0002014931,0.0003831747,0.0006781334
2024-02-21_143334,0.0003440637,0.0004792130,0.0003080104
2024-02-21_143334,0.0002344802,0.0004663958,0.0003920439
2024-02-21_143334,0.0001796860,0.0004231679,0.0002357573
2024-02-21_143334,0.0002394759,0.0003077885,0.0003632935
2024-02-21_143334,0.0001165827,0.0002575112,0.0005004314
2024-02-21_143334,0.0001748042,0.0001809223,0.0002715898
2024-02-21_143334,0.0001899983,0.0001517513,0.0002598659
2024-02-21_143334,0.0000836900,0.0001795716,0.0004250626
2024-02-21_143334,0.0002454818,0.0000308391,0.0002343741
2024-02-21_143334,0.0001046586,0.0003999447,0.0002849375
2024-02-21_143334,0.0002085599,0.0001306903,0.0002219662
2024-02-21_143334,0.0001372712,0.0002043207,0.0007243165
