record,created_at
74.4*2*73.8,2025-02-03 00:01:05
75.4*2*87.1,2025-02-03 06:00:53
77.2*2*99.1,2025-02-03 12:00:57
75.2*2*70.2,2025-02-03 18:00:53
76.5*2*80.7,2025-02-03 19:36:54
77.6*2*85.0,2025-02-03 21:34:52
77.8*2*85.3,2025-02-04 00:00:59
77.1*2*89.7,2025-02-04 06:00:53
78.8*2*95.0,2025-02-04 12:00:56
75.6*2*74.0,2025-02-04 16:18:33
76.9*2*87.3,2025-02-08 06:48:06
77.1*2*85.4,2025-02-08 12:00:58
80.0*2*74.9,2025-02-08 18:00:53
79.1*2*85.8,2025-02-09 09:13:12
79.0*2*83.7,2025-02-09 09:26:35
78.8*2*83.6,2025-02-09 12:01:02
80.0*2*64.6,2025-02-09 13:40:24
80.0*2*64.5,2025-02-09 18:00:57
80.0*2*83.2,2025-02-09 20:03:12
79.9*2*83.6,2025-02-09 22:31:31
79.1*2*84.7,2025-02-09 22:43:37
79.0*2*84.5,2025-02-09 23:06:49
78.9*2*85.5,2025-02-10 00:00:59
78.7*2*87.2,2025-02-10 06:00:53
78.1*2*93.8,2025-02-10 12:01:00
81.2*2*62.5,2025-02-10 13:42:52
81.1*2*59.0,2025-02-10 14:35:13
81.1*2*65.9,2025-02-10 18:00:57
80.7*2*76.1,2025-02-11 00:00:54
80.2*2*89.6,2025-02-11 06:00:56
79.0*2*94.0,2025-02-11 12:00:53
80.9*2*54.8,2025-02-11 18:01:05
80.2*2*80.0,2025-02-11 21:34:00
80.2*2*80.5,2025-02-12 00:01:00
80.0*2*86.4,2025-02-12 06:00:58
79.7*2*94.4,2025-02-12 12:00:59
81.2*2*51.5,2025-02-12 12:44:46
80.1*2*88.8,2025-02-13 00:24:46
79.9*2*88.2,2025-02-13 06:00:59
80.8*2*64.3,2025-02-13 12:04:52
81.1*2*68.7,2025-02-13 18:03:17
80.6*2*72.0,2025-02-13 19:07:33
80.4*2*72.3,2025-02-14 00:01:01
79.5*2*83.7,2025-02-14 06:00:58
79.7*2*99.9,2025-02-14 12:00:57
79.5*2*73.7,2025-02-14 18:00:54
79.9*2*68.7,2025-02-15 00:01:04
81.3*2*88.1,2025-02-15 06:00:55
81.8*2*99.9,2025-02-15 12:00:53
79.7*2*79.6,2025-02-15 18:00:53
80.4*2*71.8,2025-02-16 00:01:05
80.0*2*88.3,2025-02-16 06:00:53
79.5*2*91.5,2025-02-16 12:00:57
79.7*2*73.4,2025-02-16 18:00:53
79.9*2*71.8,2025-02-17 00:01:04
79.0*2*84.7,2025-02-17 06:00:56
78.6*2*88.7,2025-02-17 12:00:53
80.3*2*84.5,2025-02-17 19:30:06
80.1*2*81.9,2025-02-17 21:28:28
80.2*2*81.3,2025-02-18 00:00:54
80.0*2*78.9,2025-02-18 06:00:57
78.9*2*94.9,2025-02-18 12:00:57
81.0*2*69.5,2025-02-18 18:00:54
81.0*2*83.4,2025-02-18 21:23:59
80.9*2*83.4,2025-02-19 00:00:53
80.0*2*89.2,2025-02-19 06:01:02
79.3*2*82.2,2025-02-19 12:00:55
79.7*2*58.4,2025-02-19 18:00:54
78.9*2*81.0,2025-02-19 21:08:58
2*2*81.2,2025-02-20 00:00:54
79.3*2*86.2,2025-02-20 06:00:57
79.4*2*95.3,2025-02-20 12:00:53
79.4*2*63.2,2025-02-20 18:00:53
79.1*2*64.3,2025-02-21 00:01:05
79.0*2*87.1,2025-02-21 06:00:54
78.9*2*75.7,2025-02-21 10:36:16
79.0*2*71.2,2025-02-21 11:49:06
2*2*69.5,2025-02-21 12:00:20
78.7*2*70.4,2025-02-21 12:10:19
78.6*2*69.8,2025-02-21 12:12:08
78.4*2*70.9,2025-02-21 18:00:53
2*2*61.0,2025-02-21 19:32:17
79.4*2*68.4,2025-02-22 00:00:39
79.4*2*87.5,2025-02-22 05:32:49
79.3*2*92.3,2025-02-22 06:00:53
79.0*2*92.7,2025-02-22 12:00:57
78.2*2*49.3,2025-02-22 18:00:53
78.4*2*62.7,2025-02-22 19:32:25
77.6*2*70.4,2025-02-23 00:00:39
79.5*2*88.8,2025-02-23 05:33:04
78.9*2*86.5,2025-02-23 06:00:54
79.0*2*87.1,2025-02-23 12:00:55
78.0*2*66.5,2025-02-23 18:00:53
77.1*2*67.9,2025-02-23 19:32:16
78.3*2*75.9,2025-02-24 00:00:36
78.9*2*84.2,2025-02-24 05:32:34
79.2*2*91.8,2025-02-24 06:00:56
79.1*2*91.8,2025-02-24 12:00:57
78.6*2*48.4,2025-02-24 18:00:53
75.0*2*46.2,2025-02-24 19:32:26
74.9*2*60.2,2025-02-25 00:00:36
77.0*2*75.9,2025-02-25 05:32:35
