record,created_at
30.0*2*24.6,2/9/2025 9:13
30.2*2*25.2,2/9/2025 9:26
30.2*2*25.3,2/9/2025 12:01
33.2*2*30.3,2/9/2025 13:40
33.2*2*30.4,2/9/2025 18:00
31.3*2*24.6,2/9/2025 20:03
31.3*2*24.6,2/9/2025 22:31
29.8*2*23.5,2/9/2025 22:43
29.6*2*23.5,2/9/2025 23:06
29.6*2*23.1,2/10/2025 0:00
29.5*2*22.8,2/10/2025 6:00
28.6*2*21.0,2/10/2025 12:01
32.5*2*29.6,2/10/2025 13:42
32.5*2*29.3,2/10/2025 14:35
32.5*2*25.9,2/10/2025 18:00
31.9*2*27.2,2/11/2025 0:00
30.1*2*23.1,2/11/2025 6:00
28.5*2*21.1,2/11/2025 12:00
31.2*2*30.3,2/11/2025 18:01
30.8*2*24.4,2/11/2025 21:34
30.8*2*24.4,2/12/2025 0:01
29.8*2*23.8,2/12/2025 6:00
29.2*2*22.0,2/12/2025 12:00
31.8*2*30.6,2/12/2025 12:44
29.8*2*22.9,2/13/2025 0:24
29.8*2*23.0,2/13/2025 6:00
31.4*2*28.5,2/13/2025 12:04
33.8*2*28.8,2/13/2025 18:03
32.8*2*27.4,2/13/2025 19:07
32.9*2*27.1,2/14/2025 0:01
30.6*2*25.0,2/14/2025 6:00
29.4*2*20.2,2/14/2025 12:00
30.9*2*28.3,2/14/2025 18:00
33.9*2*28.2,2/15/2025 0:01
32.5*2*23.7,2/15/2025 6:00
31.0*2*17.8,2/15/2025 12:00
31.6*2*25.7,2/15/2025 18:00
34.2*2*27.9,2/16/2025 0:01
31.8*2*23.6,2/16/2025 6:00
30.7*2*22.2,2/16/2025 12:00
33.0*2*28.9,2/16/2025 18:00
33.6*2*27.1,2/17/2025 0:01
30.5*2*23.0,2/17/2025 6:00
29.4*2*21.1,2/17/2025 12:00
30.2*2*23.2,2/17/2025 19:30
30.5*2*23.2,2/17/2025 21:28
30.4*2*23.2,2/18/2025 0:00
30.0*2*22.3,2/18/2025 6:00
29.0*2*21.2,2/18/2025 12:00
34.5*2*29.2,2/18/2025 18:00
32.9*2*24.9,2/18/2025 21:23
33.1*2*24.8,2/19/2025 0:00
31.6*2*23.1,2/19/2025 6:01
29.6*2*20.8,2/19/2025 12:00
33.6*2*28.9,2/19/2025 18:00
33.0*2*24.8,2/19/2025 21:08
2*2*24.7,2/20/2025 0:00
31.8*2*23.1,2/20/2025 6:00
30.7*2*20.1,2/20/2025 12:00
35.8*2*29.2,2/20/2025 18:00
35.0*2*28.6,2/21/2025 0:01
31.8*2*23.1,2/21/2025 6:00
32.0*2*27.3,2/21/2025 10:36
32.0*2*27.5,2/21/2025 11:49
2*2*27.3,2/21/2025 12:00
32.4*2*27.2,2/21/2025 12:10
32.3*2*27.2,2/21/2025 12:12
32.4*2*27.2,2/21/2025 18:00
2*2*28.2,2/21/2025 19:32
33.0*2*25.9,2/22/2025 0:00
31.5*2*22.7,2/22/2025 5:32
29.7*2*21.4,2/22/2025 6:00
29.6*2*21.0,2/22/2025 12:00
32.1*2*29.9,2/22/2025 18:00
34.3*2*28.8,2/22/2025 19:32
33.2*2*26.2,2/23/2025 0:00
32.2*2*23.4,2/23/2025 5:33
30.6*2*21.4,2/23/2025 6:00
30.6*2*21.3,2/23/2025 12:00
33.5*2*28.9,2/23/2025 18:00
34.0*2*27.7,2/23/2025 19:32
33.5*2*25.5,2/24/2025 0:00
31.8*2*23.1,2/24/2025 5:32
30.2*2*21.4,2/24/2025 6:00
30.1*2*21.6,2/24/2025 12:00
32.7*2*31.2,2/24/2025 18:00
33.7*2*29.7,2/24/2025 19:32
32.8*2*26.7,2/25/2025 0:00
32.1*2*24.2,2/25/2025 5:32
30.4*2*20.9,2/25/2025 6:00
30.3*2*21.0,2/25/2025 10:07
30.8*2*27.1,2/25/2025 12:01
33.6*2*33.6,2/25/2025 13:21
33.7*2*33.5,2/25/2025 18:00
33.8*2*32.2,2/25/2025 19:32
33.1*2*28.0,2/26/2025 0:00
32.4*2*24.9,2/26/2025 6:00
31.3*2*23.2,2/26/2025 7:33
31.1*2*23.6,2/26/2025 12:00
32.7*2*32.0,2/26/2025 18:00
34.2*2*31.6,2/26/2025 19:32
2*2*28.6,2/27/2025 0:00
32.6*2*24.5,2/27/2025 6:00
32.0*2*23.2,2/27/2025 7:32
32.0*2*21.6,2/27/2025 12:00
33.2*2*31.7,2/27/2025 18:01
34.6*2*29.5,2/27/2025 19:32
33.9*2*27.2,2/28/2025 0:00
32.4*2*24.3,2/28/2025 6:00
32.0*2*22.2,2/28/2025 7:32
31.7*2*22.4,2/28/2025 12:00
33.4*2*31.5,2/28/2025 18:00
33.9*2*28.8,2/28/2025 18:33
2*2*28.8,2/28/2025 19:32
33.5*2*27.0,3/1/2025 0:00
32.8*2*24.5,3/1/2025 6:00
